event_id,topic,article_id_1,article_id_2,outlet_1,outlet_2,frame_1,frame_2,pair_type,is_cross_frame,S_raw,L_raw,E_raw,M_raw,C_raw,S_z,L_z,E_z,M_z,C_z,E_n_shared
env_001,environment,art_174,art_175,RT News,Al Jazeera,neutral,neutral,within_frame,0,0.10003333333333335,1.2,0.0634920634920635,0.11643117666244507,0.7529411764705882,-0.3399797451838297,1.6819879082731586,0.27733882353428707,-1.4212105822656738,-1.2788017947083412,21
env_001,environment,art_174,art_176,RT News,CNN,neutral,neutral,within_frame,0,0.017633333333333345,0.8,0.04685185185185185,0.24893856048583984,0.7931034482758621,-1.189342923940455,0.7718986636473789,-0.13741491323265181,-0.2855172486347748,-0.757218477850407,18
env_001,environment,art_174,art_177,RT News,BBC,neutral,concern,cross_frame,1,0.17443333333333336,1.2,0.12395833333333335,0.12826168537139893,0.7525773195876289,0.42692098903331754,1.6819879082731586,1.784447741813992,-1.3198137431874197,-1.2835271668385755,24
env_001,environment,art_174,art_178,RT News,Fox News,neutral,skeptical,cross_frame,1,0.11409999999999998,0.0,0.08235294117647059,0.15209126472473145,0.826530612244898,-0.19498328020191427,-1.0482798256041808,0.7474421892516062,-1.1155753556053525,-0.3231033177156084,17
env_001,environment,art_174,art_179,RT News,Reuters,neutral,concern,cross_frame,1,0.2167666666666667,0.13329999999999997,0.08015873015873017,0.250271201133728,0.7586206896551724,0.8632847580547229,-0.7449925848326397,0.6927519462102351,-0.27409546174062466,-1.2050425377789369,21
env_001,environment,art_174,art_180,RT News,France 24,neutral,concern,cross_frame,1,0.146,0.8667,0.056818181818181816,0.24943703413009644,0.7283950617283951,0.13383571739925512,0.9236560451887276,0.11099374194326861,-0.28124493430452263,-1.5975796767286343,22
env_001,environment,art_174,art_181,RT News,The Guardian,neutral,concern,cross_frame,1,0.09243333333333333,0.5333,0.052083333333333336,0.12648481130599976,0.7446808510638299,-0.41831906749633424,0.1650966597931401,-0.007021349726034729,-1.3350429626659737,-1.3860777960479151,24
env_001,environment,art_174,art_182,RT News,Global Times,neutral,neutral,within_frame,0,0.02783333333333334,0.39999999999999997,0.05,0.129999041557312,0.826530612244898,-1.0842033071526205,-0.1381905809784011,-0.058947990060528234,-1.3049232232665553,-0.3231033177156084,17
env_001,environment,art_174,art_183,RT News,Straits Times,neutral,neutral,within_frame,0,0.16596666666666668,0.8667,0.07058333333333335,0.3237735629081726,0.8,0.3396482352290363,0.9236560451887276,0.4540872164442679,0.3558780526758997,-0.667653665864701,20
env_001,environment,art_174,art_184,RT News,News24,neutral,neutral,within_frame,0,0.2319,0.8,0.2125,0.14435547590255737,0.9259259259259259,1.0192762156419022,0.7718986636473789,3.9913299560299658,-1.1818771988854884,0.9677334566891118,4
